   1,100      100,1000   1,1000     10,10000   10,100     1000,10000  100,10000  10,1000    1,10000
1   543130227  533099628  530619849  538405702  527655697  550701979   548065752  537076349  533903070
2   550484639  543106837  550959987  538624105  547748265  550714240   546675126  542782784  544177482
3   556848282  552353955  547726307  542162549  538882937  550792652   553179381  553133905  545087704
4   552853363  560765812  554495682  553369396  550903965  557185932   554435668  529744190  546673709
5   502021850  487547636  503495079  501161101  494147373  511377193   501215598  489013559  504797261
6   507823446  501953690  511748086  510087416  508633609  499103578   497073353  512168668  506080273
7   617408983  613387033  615866374  617664301  619744323  619781532   618421641  627066891  612171586
8   626358788  620110502  623043579  627420233  625128102  608153695   611802325  622315809  627426074
9   583292193  579928974  602164190  597878516  602087163  581438908   591151514  612410028  591762811
10  583358300  597952593  596689689  611910323  586149813  572726369   602314248  613356280  608648964
