# |S| & |V| &  time limit     &  first int    &  time       &  cost          &  time limit &  first int  &  time       &  cost           
125 & 2   &   0                     &  0.01           &  0.01        &  19.67        &  0           &  0.05            &  0.11       &  19.67    
125 & 4   &   0                     &  0.03           &  0.09        &  56.33        &  0           &  1.72            &  4.52       &  56.33    
125 & 6   &   0                     &  0.10           &  0.15        &  130.67       &  0           &  17.85           &  58.07      &  180.89   
125 & 8   &   0                     &  0.24           &  1.57        &  162.11       &  0           &  50.23           &  458.09     &  164.67   
125 & 10  &   0                     &  1.25           &  8.68        &  192.56       &  6           &  204.63          &  2701.86    &  237.33   
125 & 12  &   0                     &  7.69           &  9.89        &  269.78       &  7           &  629.25          &  2889.93    &  389.00   
125 & 14  &   2                     &  120.31         &  1415.67     &  343.67       &  4           &  636.09          &  2227.06    &  445.83   
125 & 16  &   5                     &  1394.04        &  2357.89     &  612.33       &  6           &  1214.45         &  2692.10    &  726.00   
125 & 18  &   7                     &  26.97          &  2801.61     &  341.67       &  6           &  1549.83         &  2774.42    &  569.00   
150 & 2   &   0                     &  0.01           &  0.01        &  19.67        &  0           &  0.06            &  0.15       &  19.67    
150 & 4   &   0                     &  0.04           &  0.17        &  56.33        &  0           &  2.28            &  6.84       &  56.33    
150 & 6   &   0                     &  0.17           &  0.31        &  130.67       &  0           &  19.39           &  77.69      &  161.88   
150 & 8   &   0                     &  0.42           &  1.40        &  163.44       &  0           &  70.36           &  1479.70    &  171.11   
150 & 10  &   0                     &  0.98           &  7.20        &  195.56       &  8           &  409.67          &  3261.10    &  266.33   
150 & 12  &   0                     &  16.30          &  27.23       &  272.89       &  7           &  597.23          &  3072.05    &  468.75   
150 & 14  &   4                     &  413.19         &  2492.49     &  429.17       &  8           &  1262.33         &  3503.23    &  591.17   
150 & 16  &   8                     &  308.04         &  3348.85     &  666.33       &  9           &  1111.43         &  3600.00    &  792.00   
150 & 18  &   7                     &  90.09          &  2836.13     &  348.67       &  8           &  2747.84         &  3381.41    &  796      
175 & 2   &   0                     &  0.01           &  0.01        &  19.67        &  0           &  0.09            &  0.20       &  19.67    
175 & 4   &   0                     &  0.06           &  0.18        &  56.33        &  0           &  2.40            &  10.69      &  56.33    
175 & 6   &   0                     &  0.21           &  0.33        &  130.67       &  1           &  22.56           &  703.68     &  167.00   
175 & 8   &   0                     &  0.33           &  0.86        &  159.67       &  5           &  119.17          &  2675.24    &  161.22   
175 & 10  &   0                     &  1.77           &  6.97        &  191.00       &  9           &  509.45          &  3600.00    &  259.44   
175 & 12  &   0                     &  5.84           &  7.46        &  267.33       &  9           &  1813.97         &  3600.00    &  493.17   
175 & 14  &   5                     &  448.03         &  2397.14     &  608.86       &  9           &  2819.76         &  3600.00    &  806.50   
175 & 16  &   8                     &  768.16         &  3391.67     &  1255.00      &  9           &  nan             &  3600.00    &  nan      
175 & 18  &   8                     &  161.09         &  3284.82     &  780.25       &  9           &  nan             &  3600.00    &  nan      
200 & 2   &   0                     &  0.01           &  0.01        &  19.67        &  0           &  0.11            &  0.26       &  19.67    
200 & 4   &   0                     &  0.15           &  0.28        &  56.33        &  0           &  3.25            &  15.48      &  56.33    
200 & 6   &   0                     &  0.32           &  0.36        &  130.67       &  1           &  17.34           &  659.21     &  148.25   
200 & 8   &   0                     &  0.98           &  25.16       &  161.67       &  6           &  197.57          &  2769.50    &  162.56   
200 & 10  &   0                     &  2.59           &  4.33        &  191.00       &  9           &  821.48          &  3600.00    &  277.56   
200 & 12  &   0                     &  26.43          &  44.38       &  267.89       &  9           &  2250.90         &  3600.00    &  554.86   
200 & 14  &   4                     &  128.82         &  1840.34     &  325.83       &  9           &  2324.11         &  3600.00    &  634      
