Status  time cplex  10bestcguCost  time back10  10cguCost  cplexCost  cplexInfeasible  10cguInfeasible
1       Infeasible  -              -            -          -          -                1                -
2       Infeasible  -              -            -          -          -                1                -
3       Infeasible  -              -            -          -          -                1                -
4 2     -           0.00           -            0.00       -          0                -                1
4       Infeasible  -              -            -          -          -                1                -
5 2     -           0.00           -            0.00       -          32               -                -
5       Infeasible  -              -            -          -          -                1                -
6 2     -           0.00           -            0.00       -          0                -                1
6 3     -           0.00           -            0.00       -          0                -                1
6       Infeasible  -              -            -          -          -                1                -
7 2     -           0.00           -            0.00       -          0                -                1
7 3     -           0.00           -            0.00       -          0                -                1
7       Infeasible  -              -            -          -          -                1                -
8 2     -           0.00           -            0.00       32         32               -                0
8 3     -           0.00           -            0.00       66         0                -                0
8 4     -           0.00           -            0.00       -          0                -                1
8       Infeasible  -              -            -          -          -                1                -
9 2     -           0.00           -            0.00       96         0                -                0
9 3     -           0.00           -            0.00       98         0                -                0
9 4     -           0.01           -            0.00       -          0                -                1
9       Infeasible  -              -            -          -          -                1                -
10 2    -           0.00           -            0.00       32         32               -                0
10 3    -           0.01           -            0.00       66         0                -                0
10 4    -           0.02           -            0.01       60         152              -                0
10 5    -           0.01           -            0.00       126        0                -                0
10      Infeasible  -              -            -          -          -                1                -
11 2    -           0.01           -            0.00       -          32               -                -
11 3    -           0.01           -            0.00       66         66               -                0
11 4    -           0.02           -            0.01       60         88               -                0
11 5    -           0.02           -            0.01       153        0                -                0
11      Infeasible  -              -            -          -          -                1                -
12 2    -           0.00           -            0.00       -          0                -                1
12 3    -           0.01           -            0.00       13092      66               -                1
12 4    -           0.01           -            0.00       -          0                -                1
12 5    -           0.01           -            0.00       -          0                -                1
12 6    -           0.01           -            0.00       -          0                -                1
12      Infeasible  -              -            -          -          -                1                -
13 2    -           0.00           -            0.00       32         0                -                0
13 3    -           0.01           -            0.00       66         0                -                0
13 4    -           0.03           -            0.00       60         60               -                0
