time cplex  10bestcguCost  time back10  10cguCost  cplexCost  cplexInfeasible  10cguInfeasible
26 11       4.21           -            0.02       229        265              -                0
26 12       13.60          -            0.01       240        256              -                0
26 13       9.93           -            0.02       374        0                -                0
26 2        0.02           -            0.01       20         20               -                0
26 3        0.13           -            0.01       35         35               -                0
26 4        0.29           -            0.01       81         98               -                0
26 5        0.20           -            0.01       78         78               -                0
26 6        0.37           -            0.01       97         97               -                0
26 7        0.76           -            0.01       130        130              -                0
26 8        1.93           -            0.01       136        136              -                0
26 9        2.51           -            0.01       177        210              -                0
27 10       3.28           -            0.01       196        226              -                0
27 11       7.47           -            0.01       229        265              -                0
27 12       9.62           -            0.03       240        274              -                0
27 13       373.79         -            0.02       374        0                -                0
27 2        0.02           -            0.01       20         20               -                0
27 3        0.09           -            0.01       35         35               -                0
27 4        0.23           -            0.01       81         98               -                0
27 5        0.32           -            0.01       78         78               -                0
27 6        0.68           -            0.01       97         97               -                0
27 7        1.28           -            0.01       130        165              -                0
27 8        1.58           -            0.01       136        136              -                0
27 9        2.58           -            0.01       177        213              -                0
28 10       3.11           -            0.01       196        221              -                0
28 11       6.36           -            0.02       229        265              -                0
28 12       5.20           -            0.01       240        276              -                0
28 13       12.86          -            0.03       374        0                -                0
28 14       22.64          -            0.02       369        0                -                0
28 2        0.02           -            0.01       20         20               -                0
28 3        0.11           -            0.01       35         35               -                0
28 4        0.20           -            0.01       81         81               -                0
28 5        0.23           -            0.01       78         78               -                0
28 6        0.57           -            0.01       97         97               -                0
28 7        1.37           -            0.01       130        130              -                0
28 8        1.72           -            0.01       136        136              -                0
28 9        2.86           -            0.01       177        210              -                0
29 10       13.49          -            0.02       196        196              -                0
29 11       24.99          -            0.02       229        229              -                0
29 12       29.84          -            0.01       240        240              -                0
29 13       901.63         -            0.03       374        -                -                0
29 14       901.45         -            0.03       369        -                -                0
29 2        0.02           -            0.01       20         20               -                0
29 3        0.15           -            0.01       35         35               -                0
29 4        0.25           -            0.01       81         81               -                0
29 5        0.21           -            0.01       78         78               -                0
29 6        0.52           -            0.01       97         97               -                0
29 7        1.58           -            0.01       130        130              -                0
29 8        2.59           -            0.01       136        136              -                0
29 9        2.66           -            0.01       177        177              -                0
30 10       3.84           -            0.01       196        196              -                0
30 11       5.41           -            36.86      -          229              -                -
30 12       8.24           -            0.05       240        240              -                0
30 13       227.27         -            0.02       374        511              -                0
30 14       166.17         -            0.02       369        455              -                0
30 15       105.33         -            0.02       284        284              -                0
30 2        0.02           -            0.01       20         20               -                0
30 3        0.18           -            0.01       35         35               -                0
30 4        0.21           -            0.01       81         81               -                0
30 5        0.39           -            0.01       78         78               -                0
30 6        0.72           -            0.01       97         97               -                0
30 7        1.54           -            0.01       130        130              -                0
30 8        10.19          -            0.01       136        136              -                0
30 9        4.24           -            0.01       177        177              -                0
31 10       5.77           -            0.01       196        196              -                0
31 11       21.92          -            0.01       229        229              -                0
31 12       27.43          -            0.02       240        240              -                0
31 13       613.42         -            0.03       374        501              -                0
31 14       902.20         -            0.02       369        -                -                0
31 15       120.54         -            0.02       284        284              -                0
31 2        0.02           -            0.00       20         20               -                0
31 3        0.12           -            0.01       35         35               -                0
31 4        0.26           -            0.01       81         81               -                0
31 5        0.38           -            0.01       78         78               -                0
31 6        2.06           -            0.01       97         97               -                0
31 7        1.22           -            0.01       130        130              -                0
31 8        4.30           -            0.01       136        136              -                0
31 9        4.35           -            0.01       177        177              -                0
32 10       20.49          -            0.01       196        196              -                0
32 11       8.53           -            0.01       229        247              -                0
32 12       45.26          -            0.01       240        240              -                0
32 13       902.37         -            0.02       374        -                -                0
