# file Status  time cplex  time back10  10cguCost  cplexCost  cplexInfeasible  10cguInfeasible
1       Infeasible  -            -          -          -                1                -
2       Infeasible  -            -          -          -                1                -
3       Infeasible  -            -          -          -                1                -
4       -           -            -          -          -                1                -
24 6    -           0.40         0.01       104        104              -                0
24 7    -           1.40         0.01       112        112              -                0
24 8    -           0.75         0.02       135        148              -                0
24 9    -           2.42         0.01       155        155              -                0
25 10   -           39.92        0.03       228        281              -                0
25 11   -           18.00        0.02       237        237              -                0
25 12   -           66.54        0.02       243        275              -                0
25 2    -           0.02         0.01       14         14               -                0
25 3    -           0.14         0.01       38         38               -                0
25 4    -           0.16         0.01       60         60               -                0
25 5    -           0.27         0.01       86         86               -                0
25 6    -           0.46         0.01       104        104              -                0
25 7    -           1.06         0.01       112        112              -                0
25 8    -           5.54         0.01       135        151              -                0
25 9    -           2.26         0.01       155        155              -                0
26 10   -           24.87        0.02       228        243              -                0
26 11   -           6.94         0.02       237        237              -                0
26 12   -           114.29       0.03       243        263              -                0
26 13   -           57.15        0.01       235        235              -                0
26 2    -           0.02         0.00       14         14               -                0
26 3    -           0.12         0.00       38         38               -                0
26 4    -           0.22         0.01       60         60               -                0
26 5    -           0.50         0.01       86         86               -                0
26 6    -           0.57         0.01       104        104              -                0
26 7    -           0.78         0.01       112        112              -                0
26 8    -           1.69         0.01       135        157              -                0
26 9    -           2.85         0.01       155        155              -                0
27 10   -           214.12       0.02       228        228              -                0
27 11   -           80.62        0.02       237        237              -                0
27 12   -           363.41       0.02       243        243              -                0
27 13   -           296.55       0.02       235        235              -                0
27 2    -           0.02         0.01       14         14               -                0
27 3    -           0.16         0.01       38         38               -                0
27 4    -           0.27         0.01       60         60               -                0
27 5    -           3.47         0.01       86         86               -                0
27 6    -           5.12         0.01       104        104              -                0
27 7    -           10.43        0.01       112        112              -                0
27 8    -           15.12        0.01       135        135              -                0
27 9    -           15.62        0.01       155        155              -                0
28 10   -           218.40       0.02       228        228              -                0
28 11   -           109.46       0.02       237        237              -                0
28 12   -           356.01       0.02       243        243              -                0
28 13   -           569.76       0.02       235        235              -                0
28 14   -           901.67       0.02       258        -                -                0
28 2    -           0.02         0.01       14         14               -                0
28 3    -           0.14         0.01       38         38               -                0
