#             @optimal13   @foptimal13   @foptimal1 
180 12 vir4   1            0             0 
135 10 vir4   1            1             0 
180 12 vir1   1            1             0 
135 10 vir1   1            1             0 
270 2 vir1    1            1             1 
270 2 vir4    1            1             1 
225 6 vir4    1            1             1 
225 6 vir1    1            1             1 
225 4 vir4    1            1             1 
225 4 vir1    1            1             1 
90 18 vir1    1            1             0 
90 18 vir4    1            0             0 
90 10 vir1    1            1             0 
90 2 vir1     1            1             1 
90 10 vir4    1            1             1 
90 2 vir4     1            1             1 
225 2 vir1    1            1             1 
225 2 vir4    1            1             1 
180 6 vir4    1            1             1 
180 6 vir1    1            1             1 
135 18 vir4   1            0             0 
135 18 vir1   1            1             0 
135 4 vir1    1            1             1 
270 16 vir1   0            0             0 
135 4 vir4    1            1             1 
270 16 vir4   0            0             0 
180 18 vir1   1            1             0 
180 18 vir4   0            0             0 
135 8 vir4    1            1             1 
135 8 vir1    1            1             0 
180 8 vir1    1            1             0 
180 8 vir4    1            1             1 
225 8 vir1    1            1             0 
225 8 vir4    1            1             1 
135 6 vir1    1            1             1 
135 6 vir4    1            1             1 
225 10 vir1   1            1             0 
225 10 vir4   1            1             0 
90 4 vir4     1            1             1 
90 4 vir1     1            1             1 
90 8 vir1     1            1             0 
90 8 vir4     1            1             1 
270 10 vir1   1            0             0 
270 10 vir4   1            1             0 
270 18 vir1   1            1             0 
270 18 vir4   0            0             0 
270 6 vir4    1            1             1 
270 12 vir4   1            0             0 
225 18 vir1   1            1             0 
270 6 vir1    1            1             1 
225 18 vir4   0            0             0 
270 12 vir1   1            1             0 
225 16 vir1   1            0             0 
225 16 vir4   1            1             0 
135 12 vir1   1            1             0 
225 14 vir4   0            0             0 
135 12 vir4   1            0             0 
225 14 vir1   1            1             0 
90 14 vir4    0            0             1 
270 4 vir4    1            1             1 
90 14 vir1    1            1             0 
270 4 vir1    1            1             1 
180 4 vir4    1            1             1 
180 4 vir1    1            1             1 
135 16 vir4   1            1             0 
135 16 vir1   0            0             0 
270 8 vir1    1            1             0 
270 8 vir4    1            1             1 
135 2 vir4    1            1             1 
180 2 vir1    1            1             1 
180 2 vir4    1            1             1 
135 2 vir1    1            1             1 
90 16 vir1    1            0             0 
90 16 vir4    1            1             1 
225 12 vir4   1            0             0 
180 14 vir4   0            0             0 
225 12 vir1   1            1             0 
180 14 vir1   1            1             0 
270 14 vir4   0            0             0 
135 14 vir1   1            1             0 
270 14 vir1   1            0             0 
135 14 vir4   0            0             0 
90 12 vir4    1            1             1 
90 12 vir1    1            1             0 
90 6 vir4     1            1             1 
90 6 vir1     1            1             1 
180 16 vir1   0            0             0 
180 10 vir1   1            1             0 
180 16 vir4   1            0             0 
180 10 vir4   1            1             0 
