#             @optimal13   @foptimal13   @foptimal1 
40 4 vir1     1            1             1 
40 4 vir4     1            1             1 
40 14 vir1    1            1             0 
40 14 vir4    1            0             1 
120 6 vir4    1            1             1 
120 6 vir1    1            1             1 
40 18 vir4    1            0             1 
40 18 vir1    1            1             0 
200 12 vir1   1            1             0 
120 4 vir1    1            1             1 
160 8 vir4    1            1             0 
160 8 vir1    1            1             0 
20 14 vir1    1            1             1 
40 10 vir4    1            1             1 
20 14 vir4    0            0             0 
40 10 vir1    1            1             0 
40 8 vir4     1            1             1 
80 8 vir1     1            1             0 
80 8 vir4     1            1             1 
40 8 vir1     1            1             1 
80 4 vir4     1            1             1 
120 10 vir1   1            1             0 
120 10 vir4   1            1             0 
80 4 vir1     1            1             1 
20 2 vir4     1            1             1 
80 18 vir1    1            1             0 
20 2 vir1     1            1             1 
80 18 vir4    0            0             0 
120 12 vir4   1            0             0 
120 12 vir1   1            1             0 
20 6 vir1     1            1             1 
20 6 vir4     1            1             1 
80 14 vir4    0            0             0 
80 14 vir1    1            1             0 
160 10 vir4   1            1             0 
80 6 vir1     1            1             1 
80 6 vir4     1            1             1 
200 4 vir1    1            1             1 
80 2 vir4     1            1             1 
200 4 vir4    1            1             1 
80 2 vir1     1            1             1 
40 2 vir1     1            1             1 
40 2 vir4     1            1             1 
160 10 vir1   1            1             0 
20 16 vir1    1            0             0 
20 16 vir4    0            0             0 
200 14 vir4   0            0             0 
200 14 vir1   1            1             0 
200 2 vir1    1            1             1 
200 2 vir4    1            1             1 
200 16 vir4   0            0             0 
200 16 vir1   0            0             0 
160 12 vir1   1            1             0 
160 12 vir4   1            1             0 
20 18 vir4    0            0             0 
20 18 vir1    0            0             0 
120 14 vir4   0            0             0 
20 12 vir4    1            1             1 
120 14 vir1   1            1             0 
20 12 vir1    1            1             1 
40 12 vir4    1            1             1 
160 4 vir1    1            1             1 
40 12 vir1    1            1             0 
160 4 vir4    1            1             1 
200 8 vir4    1            1             0 
200 8 vir1    1            1             0 
40 6 vir4     1            1             1 
40 6 vir1     1            1             1 
120 4 vir4    1            1             1 
160 18 vir1   1            1             0 
160 14 vir1   1            1             0 
120 8 vir1    1            1             0 
160 14 vir4   0            0             0 
120 8 vir4    1            1             0 
120 18 vir1   1            1             0 
20 4 vir4     1            1             1 
20 4 vir1     1            1             1 
160 16 vir4   1            1             0 
160 16 vir1   0            0             0 
120 18 vir4   0            0             0 
200 12 vir4   1            0             0 
80 12 vir1    1            1             0 
80 12 vir4    1            1             0 
40 16 vir1    1            0             0 
40 16 vir4    1            1             1 
200 10 vir1   1            0             0 
200 10 vir4   1            1             0 
160 6 vir1    1            1             0 
160 6 vir4    1            1             1 
160 18 vir4   0            0             0 
80 16 vir4    1            1             0 
120 16 vir1   1            1             0 
80 16 vir1    1            0             0 
120 16 vir4   1            1             0 
160 2 vir4    1            1             1 
200 6 vir4    1            1             0 
160 2 vir1    1            1             1 
200 6 vir1    1            1             0 
120 2 vir1    1            1             1 
120 2 vir4    1            1             1 
200 18 vir1   1            0             0 
200 18 vir4   0            0             0 
80 10 vir1    1            1             0 
80 10 vir4    1            1             0 
20 10 vir4    1            1             1 
20 10 vir1    1            1             0 
20 8 vir1     1            1             1 
20 8 vir4     1            1             1 
