  t1,100     t100,1000  t1,1000    t10,10000  t10,100    t1000,10000 t100,10000 t10,1000   t1,10000
1   277957866  280760634  277555205  277768739  279268616  282071830   281554401  277628657  279615799
2   282764707  280648320  281615026  281616102  281624498  280831045   282859777  283286754  281428940
3   285904382  285835828  284585470  285355987  283985667  283244010   283834428  282448279  282406860
4   283992688  282330795  283198115  282196136  282313390  281709716   284895545  283383882  282722695
5   263066499  266929069  267248149  271724826  269290133  265890914   268600742  267278322  260135070
6   265461879  266297547  266114638  265250958  265222624  261698846   265932808  266610737  263293271
7   325156132  329676909  327385437  327228545  325556165  331048780   330001478  324131443  325070026
8   323428636  331589437  325872609  326627316  327235028  323547839   327431207  327217855  328276867
9   323954679  326847907  321844056  323641018  325106256  325360097   323954715  328464251  321983755
10  321376252  314089371  320338721  319610423  319976001  316292132   321179883  324488165  324461720
